"성별","연령별","혼인상태","10년후거주의사_인천시","주거환경만족도_1주택","주거환경만족도_2기반시설","주거환경만족도_3주차장","생활환경만족도_1의료보건","생활환경만족도_2교육","생활환경만족도_3수질","생활환경만족도_4대기","생활환경만족도_5문화체육","생활환경만족도_6전반","보행환경만족도_1주거","보행환경만족도_2인천도심","보행환경만족도_3야간","교통수단만족도_1시내_마을버스","교통수단만족도_2시외_고속버스","교통수단만족도_3택시","교통수단만족도_4지하철","교통수단만족도_5여객선","통근통학유무","주차환경만족도_1관공서","주차환경만족도_2상가","주차환경만족도_3전통시장","주차환경만족도_4관광지","지역사회소속감","시민의식_정부또는지자체일관심","시민의식_국가정책협조","인천시와의소통정도"
2,2,1,2,4,2,2,4,3,2,2,3,3,3,3,3,4,4,4,4,9,2,3,3,9,3,3,3,4,3
2,2,1,2,4,2,3,4,5,5,2,1,3,4,3,2,3,9,4,4,9,2,9,9,2,9,2,5,4,1
2,2,1,2,4,3,2,5,4,3,3,1,4,4,3,3,5,5,5,5,9,2,4,2,2,1,2,4,4,3
2,2,1,2,4,3,3,3,2,3,3,3,2,4,4,4,4,3,3,5,9,1,2,2,1,2,4,3,3,4
2,2,1,2,4,3,4,4,4,4,3,3,3,2,3,2,5,5,5,4,4,1,4,4,3,3,4,5,4,2
2,2,1,2,4,4,3,3,3,4,4,3,3,2,2,2,4,3,4,4,4,1,5,4,4,5,3,3,4,4
2,2,1,2,4,4,4,2,2,3,3,3,3,4,3,3,3,3,3,3,9,2,1,1,1,1,2,2,3,2
2,2,1,2,4,4,4,2,2,3,3,3,3,4,4,4,3,3,3,3,9,3,1,1,1,1,2,4,4,3
2,2,1,2,4,4,4,2,3,3,3,3,3,4,4,4,4,4,4,4,4,1,4,4,9,9,3,4,3,3
2,2,1,2,4,4,4,3,3,3,3,3,3,4,4,3,4,3,2,2,3,1,1,1,1,1,4,5,5,3
2,2,1,2,4,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,1,3,3,3,3,3,3,3,4
2,2,1,2,4,4,4,4,2,4,3,2,3,2,2,2,2,1,3,3,3,1,2,2,3,3,2,4,3,3
2,2,1,2,4,4,4,4,4,3,3,3,3,3,3,2,4,1,3,4,3,1,4,3,3,3,2,4,4,2
2,2,1,2,4,4,4,4,4,4,3,4,3,4,3,4,5,5,5,4,4,1,2,2,3,2,3,5,4,3
2,2,1,2,4,4,4,4,4,4,4,4,4,2,2,2,3,3,3,3,9,1,2,2,2,2,2,3,3,2
2,2,1,2,4,4,4,5,2,3,4,4,4,4,4,4,5,5,5,5,5,1,2,4,2,3,4,5,5,3
2,2,1,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,3,5,5,2
2,2,1,2,4,4,6,2,2,2,2,2,2,4,4,4,4,5,5,5,9,1,9,9,9,9,3,3,3,3
2,2,1,2,4,4,6,4,4,4,4,4,4,2,2,2,4,4,4,4,4,2,9,9,9,9,3,3,3,3
2,2,1,2,5,4,3,3,3,3,3,3,3,4,4,4,3,4,3,4,3,2,3,3,2,2,2,5,5,2
2,2,1,2,5,4,5,1,1,3,1,1,4,2,2,4,2,2,3,3,9,3,1,2,1,3,4,5,1,1
2,2,1,2,5,4,5,1,1,3,1,1,4,3,3,3,5,3,5,5,3,2,5,5,4,4,3,5,5,3
2,2,1,2,5,5,5,2,2,2,2,2,2,3,3,3,2,3,3,1,3,1,3,3,3,3,3,4,3,2
2,2,1,3,1,1,1,1,4,2,1,1,1,2,2,2,5,4,4,5,9,1,9,9,9,9,3,4,5,3
2,2,1,3,1,1,1,3,3,3,2,1,3,4,4,5,4,4,4,4,9,1,4,2,1,4,3,3,3,1
2,2,1,3,1,2,1,2,3,3,1,3,1,2,2,2,5,5,5,5,4,2,5,5,5,5,2,2,2,2
2,2,1,3,1,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,5,5,3
2,2,1,3,1,3,3,3,3,3,3,3,3,5,5,5,1,9,3,4,9,1,9,9,9,9,1,1,1,3
2,2,1,3,2,2,1,4,4,3,3,3,3,3,4,3,2,4,3,4,9,3,3,3,3,3,3,4,5,2
2,2,1,3,2,2,1,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,2,1,1,1,3,3,2
2,2,1,3,2,2,2,2,2,2,2,2,2,3,3,2,5,3,5,4,2,1,3,2,1,1,2,3,3,3
2,2,1,3,2,2,2,3,2,2,2,2,2,3,3,2,3,3,3,3,3,1,2,2,1,2,2,4,3,2
2,2,1,3,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,1,2,2,2,2,4,3,4,2
2,2,1,3,2,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3
2,2,1,3,2,3,1,4,3,3,2,3,3,3,3,3,5,5,5,5,9,1,3,3,1,1,2,3,2,2
2,2,1,3,2,3,1,4,3,3,3,3,2,2,2,2,2,2,2,2,9,3,2,2,1,1,2,3,3,2
2,2,1,3,2,3,2,2,3,3,4,3,3,3,3,4,4,3,4,5,4,1,3,4,3,4,4,4,4,1
2,2,1,3,2,3,2,3,3,3,2,3,3,3,3,2,4,2,5,4,2,1,3,3,3,3,4,1,3,3
2,2,1,3,2,3,3,2,2,3,3,3,3,3,3,3,5,5,4,4,3,2,1,1,1,1,3,3,4,3
2,2,1,3,2,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,5,3
2,2,1,3,2,3,3,3,2,3,2,3,3,3,3,4,3,3,3,4,3,1,4,2,1,2,1,2,4,1
2,2,1,3,2,3,3,3,3,3,2,4,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,1,3,3
2,2,1,3,2,3,3,3,3,3,3,2,3,4,3,3,4,3,4,3,3,1,9,2,2,2,3,4,4,3
2,2,1,3,2,3,3,3,3,3,3,3,2,5,5,5,2,1,3,3,9,2,2,1,1,2,2,3,5,3
2,2,1,3,2,3,3,3,3,3,3,3,3,3,3,3,5,9,2,5,9,1,3,3,1,1,2,2,2,3
2,2,1,3,2,3,3,4,3,3,2,4,3,3,3,4,5,2,2,5,3,1,3,3,2,3,3,1,2,3
2,2,1,3,2,3,3,4,4,4,3,1,3,3,3,2,3,4,4,4,9,3,9,9,9,9,4,4,3,3
2,2,1,3,2,3,3,4,4,4,4,4,4,2,2,2,5,4,5,5,9,1,4,9,9,9,3,4,5,3
2,2,1,3,2,4,1,4,4,4,3,3,3,4,4,3,5,5,5,5,3,1,3,2,2,2,2,3,3,3
2,2,1,3,2,4,6,3,5,3,3,2,4,5,5,5,1,9,9,5,9,3,9,2,9,9,1,1,3,3
2,2,1,3,2,4,6,5,3,3,3,3,3,2,2,2,1,9,9,4,9,1,9,9,9,9,2,3,3,3
2,2,1,3,3,1,1,2,3,1,1,1,1,3,3,5,3,3,3,3,3,1,3,3,3,1,3,3,3,2
2,2,1,3,3,2,2,4,4,2,2,3,4,2,1,1,3,3,3,3,3,3,9,9,2,9,3,5,5,3
2,2,1,3,3,2,3,3,2,3,3,4,3,3,3,3,3,4,3,3,9,1,3,4,3,9,4,3,3,2
2,2,1,3,3,3,1,2,2,3,3,3,3,2,2,2,3,9,3,3,9,3,1,1,1,1,2,2,3,3
2,2,1,3,3,3,1,3,3,3,3,3,3,5,3,3,1,3,3,3,3,1,1,2,3,3,2,3,3,1
2,2,1,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,9,1,9,9,9,9,2,2,5,3
2,2,1,3,3,3,2,3,3,3,3,4,3,2,2,2,5,4,4,5,2,1,9,1,9,9,3,3,4,2
2,2,1,3,3,3,2,4,4,1,3,3,3,4,4,4,9,9,9,5,9,1,9,9,9,9,2,5,4,1
2,2,1,3,3,3,2,5,3,3,3,4,4,4,3,4,4,4,4,5,9,2,9,4,9,2,4,5,5,3
2,2,1,3,3,3,3,2,2,2,2,2,2,3,3,3,4,3,2,5,3,1,3,3,3,3,3,2,3,3
2,2,1,3,3,3,3,2,2,3,2,3,3,3,3,3,3,4,3,4,9,1,3,3,3,3,3,2,4,3
2,2,1,3,3,3,3,2,3,4,4,3,3,3,3,3,1,2,3,1,9,1,4,1,1,9,2,3,3,3
2,2,1,3,3,3,3,3,2,3,2,2,2,3,2,3,4,3,4,4,9,2,3,3,2,2,3,2,3,3
2,2,1,3,3,3,3,3,2,3,4,2,3,3,3,3,3,2,3,9,9,3,2,2,2,9,3,3,3,3
2,2,1,3,3,3,3,3,3,3,2,2,1,5,5,4,3,3,3,3,9,1,3,3,2,9,2,3,2,3
2,2,1,3,3,3,3,3,3,3,2,2,2,4,4,4,4,3,2,4,3,1,4,4,3,3,3,2,3,3
2,2,1,3,3,3,3,3,3,3,2,2,3,3,3,3,5,5,3,5,5,2,4,4,3,3,3,3,4,3
2,2,1,3,3,3,3,3,3,3,2,2,3,3,3,4,4,3,2,5,3,1,4,4,3,4,3,1,2,2
2,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,1,2,1,1,1,3,5,4,3
2,2,1,3,3,3,3,3,3,3,2,3,3,3,3,4,2,2,3,2,3,3,2,2,2,2,3,3,4,2
2,2,1,3,3,3,3,3,3,3,2,3,3,3,4,4,4,3,3,5,9,1,2,4,5,4,4,4,4,3
2,2,1,3,3,3,3,3,3,3,3,2,2,3,3,3,4,9,3,3,9,1,3,3,3,3,2,2,4,3
2,2,1,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,4,3,1,5,2,2,2,2,3,4,2
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,3,3,3,2,1,4,4,4,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,1
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,3,3,4,4,4,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,4,4,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,4,1,1,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,3,9,9,9,9,2,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,5,4,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,9,9,9,9,3,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,9,1,3,3,3,9,3,5,4,4
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,5,3,2,3,3,3,3,3,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,1,1,1,1,3,5,5,3
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,9,1,3,3,3,3,3,4,3,1
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,9,3,2,2,2,2,3,3,3,2
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,9,9,3,9,3,9,9,9,9,2,2,2,1
2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,1,2,2,2,2,2,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,3,5,2,1,9,3,3,4,3,5,5,4
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,2,3,2,1,3,3,3,3,2,2,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,1,1,1,1,1,2,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,1,2,2,2,2,2,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,9,1,2,2,2,2,2,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,5,9,1,2,2,2,2,3,4,5,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,9,2,9,9,9,9,3,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,9,1,2,2,2,2,3,3,3,2
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,1,3,3,3,3,3,3,3,2
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,9,1,2,2,2,2,2,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,9,2,3,3,3,3,2,2,2,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,9,2,9,9,9,9,3,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,4,4,4,2,3,3,3,3,3,3,3,3
2,2,1,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,9,2,2,3,3,3,3,4,4,2
2,2,1,3,3,3,3,3,3,3,3,3,3,5,5,5,3,2,3,1,1,3,1,1,1,1,4,5,5,3
2,2,1,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,9,9,3,3,3,3,2,3,3,3,3
2,2,1,3,3,3,3,3,3,4,3,3,3,2,2,2,4,4,4,4,9,2,3,3,2,1,3,3,3,3
2,2,1,3,3,3,3,3,3,4,4,3,3,3,3,3,3,1,3,9,9,1,3,3,9,9,3,3,4,3
2,2,1,3,3,3,3,4,3,3,3,3,3,4,4,2,3,3,3,3,3,1,4,9,9,9,2,2,4,2
2,2,1,3,3,3,3,4,3,3,3,3,4,4,4,4,2,2,3,9,9,2,2,2,3,3,3,5,3,4
2,2,1,3,3,3,3,4,3,4,3,3,3,3,2,2,4,4,3,4,9,1,3,3,1,3,3,3,2,2
2,2,1,3,3,3,3,4,4,3,3,3,3,3,3,4,4,9,4,4,9,2,3,9,3,9,3,4,4,3
2,2,1,3,3,3,3,4,4,4,4,3,3,3,3,3,4,3,3,2,9,1,9,4,3,3,2,3,3,3
2,2,1,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,1,3,3,1,1,3,3,3,3
2,2,1,3,3,3,3,5,3,4,2,3,3,3,3,3,3,3,3,3,3,2,3,3,5,5,3,5,4,4
2,2,1,3,3,3,3,5,4,4,3,3,3,3,3,3,5,5,5,5,3,1,5,5,5,3,3,3,3,3
2,2,1,3,3,3,4,3,3,3,2,2,2,3,3,3,9,9,9,9,9,2,2,2,2,2,4,3,5,3
2,2,1,3,3,3,4,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,3,3,3,3,3,5,5,4
2,2,1,3,3,3,6,3,3,3,3,3,3,3,3,2,3,9,3,3,9,2,3,3,3,9,3,3,3,3
2,2,1,3,3,3,6,3,3,3,3,3,3,3,3,2,3,9,3,3,9,3,3,3,3,3,3,3,3,3
2,2,1,3,3,3,6,3,3,3,3,3,3,3,3,3,1,1,4,2,9,1,1,1,1,1,3,4,4,4
2,2,1,3,3,3,6,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,4,3,3,2,3,4,4,3
2,2,1,3,3,3,6,3,3,3,3,3,3,4,4,4,3,9,2,4,9,2,9,2,2,2,3,4,3,3
2,2,1,3,3,3,6,3,3,3,3,3,3,4,4,4,4,4,4,4,9,2,9,9,9,9,3,3,3,3
2,2,1,3,3,3,6,3,3,3,3,3,3,4,4,4,4,9,4,4,9,2,9,9,9,9,2,3,3,3
2,2,1,3,3,3,6,5,4,4,4,4,4,3,3,3,9,9,9,4,9,3,9,9,9,9,4,3,3,3
2,2,1,3,3,4,2,2,2,3,2,2,3,3,3,3,5,5,5,5,1,1,9,9,9,9,5,2,4,3
2,2,1,3,3,4,3,3,3,3,2,2,3,3,3,3,4,4,3,3,9,1,3,3,2,2,2,2,3,3
2,2,1,3,3,4,3,3,4,3,2,3,3,3,3,3,4,4,4,5,9,1,3,2,3,9,3,3,4,3
2,2,1,3,3,4,3,3,4,3,3,4,3,3,2,2,5,3,4,5,4,1,4,3,4,4,4,4,4,3
2,2,1,3,3,4,3,4,3,4,2,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,4,3,3
2,2,1,3,3,4,4,3,2,2,2,2,3,3,2,2,4,4,3,3,9,1,3,2,2,2,3,2,4,3
2,2,1,3,3,4,4,3,3,3,2,3,3,3,3,3,3,4,3,4,9,1,3,3,2,2,3,2,3,3
2,2,1,3,3,4,4,3,3,3,3,3,3,4,4,2,3,9,4,4,9,1,9,2,9,2,2,2,4,3
2,2,1,3,3,4,4,3,3,4,3,4,4,2,3,2,4,4,3,4,4,1,4,3,4,3,3,4,4,3
2,2,1,3,3,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,1,3,2,2,2,3,3,4,3
2,2,1,3,3,5,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,1,3,2,3,3,3,3,3,2
2,2,1,3,4,2,2,5,3,1,2,2,3,3,3,3,2,5,3,5,3,1,1,1,1,1,4,5,5,1
2,2,1,3,4,2,6,5,5,5,2,2,3,3,4,3,3,3,3,2,3,3,9,9,9,9,2,3,3,3
2,2,1,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,9,1,9,9,9,9,3,3,4,3
2,2,1,3,4,3,4,3,4,3,4,3,4,2,2,3,4,3,3,4,4,3,3,4,3,3,2,3,3,2
2,2,1,3,4,3,6,3,3,3,3,3,3,3,3,2,4,4,4,4,4,2,3,3,1,3,3,4,5,2
2,2,1,3,4,4,1,3,3,3,3,2,3,2,2,2,2,2,3,3,2,2,9,9,9,9,2,1,3,3
2,2,1,3,4,4,2,3,3,4,4,3,3,2,2,3,4,3,4,4,9,3,9,2,2,9,3,4,4,3
2,2,1,3,4,4,2,3,4,3,3,3,3,3,3,4,2,2,3,1,9,1,4,9,9,9,2,2,3,3
2,2,1,3,4,4,2,5,4,4,2,3,4,4,4,3,4,4,4,4,9,1,4,3,2,3,3,3,4,3
2,2,1,3,4,4,3,2,3,3,2,2,2,3,3,3,3,4,3,3,9,1,2,2,2,2,3,4,5,3
2,2,1,3,4,4,3,4,4,4,1,3,5,5,5,5,5,5,5,2,4,2,4,4,3,3,2,3,3,4
2,2,1,3,4,4,4,2,2,3,3,2,3,4,4,4,3,3,3,3,9,3,9,9,9,9,2,3,4,3
2,2,1,3,4,4,4,2,2,3,3,3,3,4,3,3,3,3,3,3,9,3,1,1,1,1,2,3,4,3
2,2,1,3,4,4,4,2,2,3,3,3,3,4,4,4,4,9,3,2,9,3,9,9,9,9,2,5,5,3
2,2,1,3,4,4,4,2,3,3,2,3,3,3,3,3,5,5,5,5,4,1,4,4,3,3,4,4,4,4
2,2,1,3,4,4,4,2,3,4,4,3,3,4,4,4,4,4,4,4,9,1,4,4,3,3,3,4,3,3
2,2,1,3,4,4,4,2,4,3,3,3,5,4,3,3,2,3,3,3,9,2,3,3,3,3,3,4,3,3
2,2,1,3,4,4,4,2,4,4,4,3,4,4,4,4,4,3,4,2,9,1,4,3,2,2,3,3,4,3
2,2,1,3,4,4,4,3,2,3,2,2,2,3,3,2,3,2,2,4,9,1,3,3,2,3,2,3,3,3
2,2,1,3,4,4,4,3,3,3,2,2,3,3,3,3,3,3,3,3,9,3,9,9,9,9,3,2,3,3
2,2,1,3,4,4,4,3,3,3,3,3,3,3,2,2,3,3,3,4,2,1,3,3,3,3,3,5,5,3
2,2,1,3,4,4,4,3,3,3,3,3,3,3,3,2,4,4,4,4,3,2,2,2,1,2,3,3,4,2
2,2,1,3,4,4,4,3,3,3,3,3,3,4,4,4,4,3,2,5,3,3,4,4,4,4,3,2,3,5
2,2,1,3,4,4,4,3,4,3,4,4,4,3,2,3,5,4,5,4,4,3,5,5,4,5,4,4,4,4
2,2,1,3,4,4,4,3,5,1,5,5,5,5,5,5,3,3,3,3,3,3,9,9,9,9,1,1,5,3
2,2,1,3,4,4,4,4,4,3,3,3,3,5,5,5,2,2,3,5,4,1,3,3,3,3,2,3,3,4
2,2,1,3,4,4,4,4,4,3,3,4,4,2,3,2,4,4,3,4,4,1,4,3,4,4,4,5,5,4
2,2,1,3,4,4,4,4,4,3,3,4,4,4,4,4,5,5,5,4,5,1,2,2,3,2,3,5,4,3
2,2,1,3,4,4,4,4,4,3,4,3,4,3,3,2,4,4,4,3,4,2,4,4,5,4,4,5,5,3
2,2,1,3,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4,3,1,9,9,9,9,2,3,3,2
2,2,1,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,2,4,4,3,3,4,3,4,3
2,2,1,3,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,9,9,3,1,2,3,1,4,4,3,3
2,2,1,3,4,4,4,4,4,4,4,4,4,3,3,3,5,5,5,9,9,2,9,9,9,9,3,3,3,3
2,2,1,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,9,2,9,3,3,3,4,2
2,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2,9,3,3,9,1,3,3,3,9,3,3,3,3
2,2,1,3,4,4,4,4,5,4,5,4,4,3,3,3,9,9,9,4,9,3,3,2,1,9,3,5,4,3
2,2,1,3,4,4,4,5,4,4,4,5,5,3,3,3,4,3,4,4,9,1,3,3,9,9,3,4,3,3
2,2,1,3,4,4,6,2,2,3,3,3,3,4,3,3,3,3,3,3,9,3,1,2,1,1,2,1,2,3
2,2,1,3,4,4,6,3,3,3,3,3,3,3,3,3,4,9,4,4,9,2,9,9,9,9,3,3,3,3
2,2,1,3,4,4,6,3,4,3,2,3,3,3,3,3,5,5,5,5,9,1,9,9,9,9,1,3,3,3
2,2,1,3,4,4,6,4,4,3,3,3,3,2,2,2,4,4,3,4,4,2,9,2,2,2,4,3,3,2
2,2,1,3,4,4,6,4,4,4,1,3,4,5,3,4,1,2,3,4,9,2,9,2,2,9,1,3,4,3
2,2,1,3,4,4,6,4,4,4,4,4,4,4,4,4,2,2,2,2,3,1,9,9,9,9,1,1,4,3
2,2,1,3,4,5,4,4,4,4,3,3,4,3,4,3,4,4,5,4,4,1,4,4,3,4,3,4,5,3
2,2,1,3,4,5,5,2,3,3,1,2,3,3,3,3,3,3,3,3,3,1,3,1,1,2,4,4,4,3
2,2,1,3,4,5,5,4,4,4,2,3,4,4,4,4,2,2,4,4,9,1,4,2,3,3,3,4,4,3
2,2,1,3,5,4,4,3,3,3,2,3,3,4,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,4
2,2,1,3,5,4,4,3,3,3,3,3,3,3,3,3,4,3,4,4,3,2,3,3,3,3,2,3,4,1
2,2,1,3,5,5,1,3,3,3,3,3,3,2,2,4,3,3,3,4,9,1,3,2,1,3,2,3,3,3
2,2,1,4,1,1,1,3,2,1,1,1,2,3,3,3,2,2,4,4,9,3,9,2,2,2,3,4,4,4
2,2,1,4,1,1,4,1,2,1,5,5,5,3,4,2,4,4,4,5,9,1,3,3,3,3,2,3,3,2
2,2,1,4,1,2,2,3,2,3,2,2,2,3,3,3,3,3,2,4,3,2,9,1,1,1,3,1,3,3
2,2,1,4,1,3,1,3,1,3,4,1,2,3,3,2,4,2,3,2,3,1,1,1,1,3,3,4,3,2
2,2,1,4,1,3,2,3,3,3,2,2,3,3,3,3,3,3,2,3,3,1,3,3,1,1,3,3,4,3
2,2,1,4,1,3,2,4,3,3,3,3,3,3,3,4,2,3,3,4,3,2,3,2,3,3,3,3,5,2
2,2,1,4,1,3,2,4,3,3,3,3,3,5,5,5,3,9,3,4,9,1,9,9,9,9,3,4,4,3
2,2,1,4,1,3,3,3,3,3,3,3,3,4,3,3,4,3,3,5,9,1,3,2,2,3,3,3,4,3
2,2,1,4,1,3,3,3,3,4,4,4,4,2,3,3,3,3,3,9,3,3,9,9,9,9,4,3,3,3
2,2,1,4,2,1,1,3,3,2,1,4,3,3,3,2,2,2,3,5,9,1,3,2,2,2,1,2,3,2
2,2,1,4,2,2,2,2,2,2,1,2,2,1,3,1,4,3,3,3,3,2,3,3,1,1,4,5,5,3
2,2,1,4,2,2,2,2,3,3,2,3,3,4,4,4,4,3,3,5,3,1,1,1,1,1,3,2,4,3
2,2,1,4,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,4,5,5,4
2,2,1,4,2,2,2,3,3,2,2,3,3,3,3,3,5,4,4,5,5,1,3,3,1,1,3,2,4,3
2,2,1,4,2,2,2,4,4,3,3,3,3,2,2,1,2,4,4,4,9,1,2,2,2,2,1,1,4,2
2,2,1,4,2,2,2,4,4,3,3,3,3,3,3,3,3,2,2,2,1,1,2,2,2,2,2,5,5,2
2,2,1,4,2,2,2,4,4,4,4,4,4,3,3,3,5,5,5,5,5,2,1,1,1,1,4,5,5,4
2,2,1,4,2,2,3,3,3,3,3,3,3,3,3,2,2,3,2,4,3,1,3,3,1,3,1,3,4,3
2,2,1,4,2,2,6,3,3,3,3,3,3,3,3,3,4,4,4,5,4,2,3,3,3,3,3,4,4,2
2,2,1,4,2,3,1,3,3,3,3,2,2,2,2,2,2,2,2,2,9,3,1,1,1,1,2,3,2,2
2,2,1,4,2,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,1,3,3,3,1
2,2,1,4,2,3,1,4,4,4,3,3,3,3,3,3,5,5,5,5,5,1,3,2,1,1,2,3,2,2
2,2,1,4,2,3,2,2,2,3,2,2,2,4,4,4,3,3,3,2,3,2,2,1,1,2,4,4,4,3
2,2,1,4,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
2,2,1,4,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,5,3,1,4,2,1,1,4,1,1,2
2,2,1,4,2,3,2,3,3,2,2,3,3,4,4,4,4,3,4,4,9,1,4,4,9,9,3,3,4,3
2,2,1,4,2,3,2,3,3,3,1,2,3,3,3,2,2,2,3,4,4,1,1,1,1,1,3,2,3,3
2,2,1,4,2,3,2,4,4,3,2,3,3,3,3,3,9,9,3,4,9,1,9,9,3,2,3,3,4,2
2,2,1,4,2,3,2,4,4,3,4,3,3,2,2,2,5,4,4,5,9,1,3,1,2,3,3,3,5,2
2,2,1,4,2,3,3,2,3,3,3,2,3,3,3,3,5,5,5,5,5,1,3,3,2,3,2,4,4,3
2,2,1,4,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,5,3,1,3,3,1,1,1,1,3,3
2,2,1,4,2,3,3,4,3,2,2,3,4,3,3,3,5,9,2,5,3,3,4,4,3,3,5,3,3,3
2,2,1,4,2,3,3,4,3,3,3,2,3,3,3,3,4,3,4,3,3,2,1,2,1,2,3,3,3,3
2,2,1,4,2,3,3,4,4,3,3,3,3,3,3,4,4,3,4,4,3,1,3,3,3,3,2,3,4,3
2,2,1,4,2,3,6,4,3,3,2,3,3,3,3,3,4,9,4,4,9,1,9,9,9,9,3,4,4,3
